name,src_file,src_line,self_total_ms,calls,self_mean_us,self_max_ms
LLReflectionMap::autoAdjustOrigin,E:\BoxxyViewer\indra\newview\llreflectionmap.cpp,79,0.320848,17042,0.018826898251378947,0.007028
httppt - curl_multi_info_read,E:\BoxxyViewer\indra\llcorehttp\_httplibcurl.cpp,183,0.315258,2006,0.15715752741774677,0.004352
notify loaded meshes,E:\BoxxyViewer\indra\newview\llmeshrepository.cpp,3423,0.312703,4,78.17575,0.20501
LLTextureCache::writeToFastCache,E:\BoxxyViewer\indra\newview\lltexturecache.cpp,2088,0.311027,2,155.5135,0.205815
df Snapshot,E:\BoxxyViewer\indra\newview\llappviewer.cpp,1508,0.310588,172,1.8057441860465118,0.002918
LLCore::HttpOpRequest::headerCallback,E:\BoxxyViewer\indra\llcorehttp\_httpoprequest.cpp,875,0.310024,457,0.6783894967177243,0.017919
Sleep2,E:\BoxxyViewer\indra\newview\llappviewer.cpp,1533,0.309912,172,1.8018139534883721,0.006641
LLDrawable::addFace,E:\BoxxyViewer\indra\newview\lldrawable.cpp,317,0.308445,1753,0.17595265259555048,0.027878
LLSettingsVOSky::applySpecial,E:\BoxxyViewer\indra\newview\llsettingsvo.cpp,751,0.308431,345,0.8940028985507247,0.001915
LLVOAvatar::getAverageGPURenderTime,E:\BoxxyViewer\indra\newview\llvoavatar.cpp,12739,0.295423,172,1.7175755813953488,0.010672
LLViewerMediaImpl::update,E:\BoxxyViewer\indra\newview\llviewermedia.cpp,2898,0.293675,688,0.4268531976744186,0.001798
LLViewerRegion::updateReflectionProbes,E:\BoxxyViewer\indra\newview\llviewerregion.cpp,1277,0.292351,173,1.6898901734104048,0.013543
MISSING TEXTURE,E:\BoxxyViewer\indra\llrender\llrender.cpp,199,0.291515,4111,0.07091097056677208,0.0013
LLWorld::updateRegions,E:\BoxxyViewer\indra\newview\llworld.cpp,684,0.290665,173,1.6801445086705202,0.008669
LLDrawPoolAvatar::endPostDeferredPass,E:\BoxxyViewer\indra\newview\lldrawpoolavatar.cpp,246,0.288706,868,0.332610599078341,0.002423
LLDrawPoolBump::renderPostDeferred,E:\BoxxyViewer\indra\newview\lldrawpoolbump.cpp,597,0.286655,1011,0.28353610286844705,0.007781
LLVertexBuffer::flushBuffers,E:\BoxxyViewer\indra\llrender\llvertexbuffer.cpp,1022,0.285356,2802,0.1018401142041399,0.005264
shadow fullbright alpha masked,E:\BoxxyViewer\indra\newview\pipeline.cpp,9960,0.284046,2048,0.1386943359375,0.000754
LLVolumeFace::resizeVertices,E:\BoxxyViewer\indra\llmath\llvolume.cpp,6938,0.28357,414,0.6849516908212561,0.028661
LLBodyNoiseMotion::onUpdate,E:\BoxxyViewer\indra\newview\llvoavatar.cpp,368,0.282399,2843,0.09933134013366163,0.001028
LLEnvironment::updateGLVariablesForSettings,E:\BoxxyViewer\indra\newview\llenvironment.cpp,1708,0.282287,690,0.40911159420289855,0.001385
getGeometryVolume - tcoord,E:\BoxxyViewer\indra\newview\llface.cpp,1592,0.282019,4718,0.05977511657481984,0.001474
lllog,E:\BoxxyViewer\indra\newview\llviewerobjectlist.cpp,550,0.281546,1365,0.20626080586080586,0.003003
ms_sleep,E:\BoxxyViewer\indra\llcommon\lltimer.cpp,112,0.281166,1817,0.15474188222344523,0.006162
getGeometryVolume - texgen default,E:\BoxxyViewer\indra\newview\llface.cpp,1828,0.279789,1221,0.22914742014742015,0.002878
LLGLSLShader::uniform2fv,E:\BoxxyViewer\indra\llrender\llglslshader.cpp,1526,0.277884,14262,0.019484223811527132,0.001997
shadow alpha material,E:\BoxxyViewer\indra\newview\pipeline.cpp,9980,0.269716,2048,0.131697265625,0.002543
shadow alpha masked,E:\BoxxyViewer\indra\newview\pipeline.cpp,9945,0.268363,2048,0.13103662109375,0.000997
LLTextureCache::update,E:\BoxxyViewer\indra\newview\lltexturecache.cpp,820,0.265678,172,1.544639534883721,0.013907
LLTrace::Recording::handleStop,E:\BoxxyViewer\indra\llcommon\lltracerecording.cpp,141,0.254015,172,1.4768313953488372,0.002391
LLControlGroup::get,E:\BoxxyViewer\indra\llxml\llcontrol.h,229,0.253943,237,1.0714894514767932,0.037728
LLViewerMedia::updateMedia,E:\BoxxyViewer\indra\newview\llviewermedia.cpp,642,0.253613,172,1.4744941860465117,0.002546
LLTrace::AccumulatorBuffer<class LLTrace::EventAccumulator>::reset,E:\BoxxyViewer\indra\llcommon\lltraceaccumulators.h,132,0.25358,2752,0.0921438953488372,0.001458
LLMaterialMgr::onIdle,E:\BoxxyViewer\indra\newview\llmaterialmgr.cpp,576,0.25225,172,1.4665697674418605,0.002921
LL::WorkQueueBase::runUntilClose,E:\BoxxyViewer\indra\llcommon\workqueue.cpp,86,0.251244,789,0.3184334600760456,0.006254
LLDrawPoolGlow::renderPostDeferred,E:\BoxxyViewer\indra\newview\lldrawpoolsimple.cpp,47,0.251005,839,0.29917163289630516,0.001774
LLCore::HttpLibcurl::completeRequest,E:\BoxxyViewer\indra\llcorehttp\_httplibcurl.cpp,320,0.248707,42,5.921595238095239,0.009777
Exact OIT prepare capture,E:\BoxxyViewer\indra\newview\fsexactoit.cpp,833,0.243579,172,1.4161569767441862,0.001946
`anonymous-namespace'::ImplMap::insert,E:\BoxxyViewer\indra\llcommon\llsd.cpp,547,0.239411,1381,0.17336060825488775,0.001611
LLDrawable::cleanupReferences,E:\BoxxyViewer\indra\newview\lldrawable.cpp,251,0.235443,42,5.605785714285715,0.012802
LLFontGL::maxDrawableChars,E:\BoxxyViewer\indra\llrender\llfontgl.cpp,603,0.23464,501,0.46834331337325347,0.007119
LLTrace::AccumulatorBuffer<class LLTrace::SampleAccumulator>::sync,E:\BoxxyViewer\indra\llcommon\lltraceaccumulators.h,142,0.234309,860,0.27245232558139537,0.001476
df pauseMainloopTimeout,E:\BoxxyViewer\indra\newview\llappviewer.cpp,1524,0.231714,172,1.3471744186046513,0.008373
LLMeshRepository::getMeshSize,E:\BoxxyViewer\indra\newview\llmeshrepository.cpp,5213,0.228094,2951,0.07729379871230091,0.0008
LLGLSLShader::uniform2f,E:\BoxxyViewer\indra\llrender\llglslshader.cpp,1866,0.226143,1894,0.11939968321013728,0.001004
`anonymous-namespace'::ImplMap::insert,E:\BoxxyViewer\indra\llcommon\llsd.cpp,535,0.217501,1064,0.20441823308270676,0.010762
LLMeshRepoThread::notifyLoadedMeshes,E:\BoxxyViewer\indra\newview\llmeshrepository.cpp,3411,0.216916,1118,0.19402146690518782,0.062322
LLSettingsVOWater::updateSettings,E:\BoxxyViewer\indra\newview\llsettingsvo.cpp,1148,0.214571,173,1.2402947976878613,0.002803
