name|src_file|src_line|total_ns|total_perc|counts|mean_ns|min_ns|max_ns|std_ns
LLGLDepthTest::~LLGLDepthTest|E:\BoxxyViewer\indra\llrender\llgl.cpp|2825|1384059|0.000052|39105|35|6|66201|339.050872
FTM_UPDATE_CAMERA|E:\BoxxyViewer\indra\newview\llagentcamera.cpp|1212|2173797|0.000081|173|12565|9615|22680|1806.719097
"vftuf - has raw image"|E:\BoxxyViewer\indra\newview\llviewertexture.cpp|1956|23692|0.000001|14|1692|192|3174|783.076870
LLStringUtilBase<char>::format|E:\BoxxyViewer\indra\llcommon\llstring.cpp|1667|16283|0.000001|47|346|149|1087|208.032345
"Update Geom"|E:\BoxxyViewer\indra\newview\llviewerdisplay.cpp|761|52227395|0.001944|173|301892|202020|756017|77249.756531
LLMotionController::updateMotionsMinimal|E:\BoxxyViewer\indra\llcharacter\llmotioncontroller.cpp|936|46317337|0.001724|11154|4152|337|206084|3190.490636
LLGLSLShader::uniform1i|E:\BoxxyViewer\indra\llrender\llglslshader.cpp|1778|66408306|0.002472|1898771|34|22|108148|178.305783
LLEnvironment::update|E:\BoxxyViewer\indra\newview\llenvironment.cpp|1641|10610258|0.000395|345|30754|4786|152027|25441.914980
LLRenderPass::uploadMatrixPalette|E:\BoxxyViewer\indra\newview\lldrawpool.cpp|846|24521996|0.000913|330512|74|6|172539|529.182426
LLTextureCache::setHeaderCacheEntry|E:\BoxxyViewer\indra\newview\lltexturecache.cpp|1905|463893|0.000017|2|231946|217304|246589|20707.622099
LLDrawPoolBump::endFullbrightShiny|E:\BoxxyViewer\indra\newview\lldrawpoolbump.cpp|387|30513|0.000001|1850|16|6|222|14.015154
LLSpatialGroup::changeLOD|E:\BoxxyViewer\indra\newview\llspatialpartition.cpp|735|5978471|0.000223|376565|15|6|9970|50.095099
LLMeshLODHandler::processData|E:\BoxxyViewer\indra\newview\llmeshrepository.cpp|3982|4991|0.000000|3|1663|1300|1894|318.658124
FTM_CLEANUP_DRAWABLES|E:\BoxxyViewer\indra\newview\llappviewer.cpp|5498|45469|0.000002|173|262|98|819|105.638012
LLDrawPoolAvatar::beginPostDeferredPass|E:\BoxxyViewer\indra\newview\lldrawpoolavatar.cpp|230|4099948|0.000153|868|4723|2351|11626|2106.449379
LLVOVolume::getCostData|E:\BoxxyViewer\indra\newview\llvovolume.cpp|4566|874133|0.000033|3490|250|70|2491|108.846824
"vftuf - make request"|E:\BoxxyViewer\indra\newview\llviewertexture.cpp|2296|194010|0.000007|19|10211|2506|15620|3785.342161
